"confirmatory_id","treatment","outcome","horizon","factor","contract_id","iv_candidate","negative_control_candidate","score","p_value","q_value","priority","robust","evidence_tier","contract_status","status","notes","source","run_timestamp_utc"
"ci_contract_033","credit_composite","gini_households_q",4,"F1","contract_033",NA,NA,9.43128497163177e-12,0.495782028868035,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_030","snap_persons","wealth_share_gap_top1_bottom50",8,"F2","contract_030",NA,NA,8.96714718008441e-06,0.496135768652757,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_019","social_security","poverty_all_q",2,"F2","contract_019",NA,NA,3.50234164191836e-05,0.522545269741601,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_021","social_security","gini_households_q",2,"F1","contract_021",NA,NA,1.0160320674925e-07,0.525646923333033,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_016","ui_benefits","median_real_income_fred_q",8,"F1","contract_016",NA,NA,0.00187121567245646,0.566849560164729,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_024","social_security","wealth_share_gap_top1_bottom50",2,"F2","contract_024",NA,NA,2.83346992770733e-05,0.599176279778318,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_003","fed_funds","gini_households_q",8,"F1","contract_003",NA,NA,0.000257296133882042,0.613217380893843,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_006","fed_funds","wealth_share_gap_top1_bottom50",8,"F2","contract_006",NA,NA,0.0930430085247801,0.632626541620097,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_022","social_security","median_real_income_fred_q",2,"F1","contract_022",NA,NA,0.0319293747610251,0.640569709190916,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_005","fed_funds","wealth_share_gap_top10_bottom50",2,"F2","contract_005",NA,NA,0.154155560157841,0.688760420621688,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_020","social_security","poverty_child_q",2,"F2","contract_020",NA,NA,4.29692735580953e-05,0.696009389016727,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_023","social_security","wealth_share_gap_top10_bottom50",8,"F2","contract_023",NA,NA,5.56233277362177e-05,0.725152497392903,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_028","snap_persons","median_real_income_fred_q",8,"F2","contract_028",NA,NA,0.00928594944378625,0.740518941313696,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
